Diet_type;Recipe_name;Cuisine_type;Protein_g;Carbs_g;Fat_g;Extraction_day;Extraction_time
paleo;Paleo Tzimmes;kosher;1611;23688;386;16/10/2022;17:20:23
paleo;Paleo Pumpkin Bars;american;3973;16901;11795;16/10/2022;17:20:23
paleo;Paleo Fruitcake;american;8245;27148;20491;16/10/2022;17:20:23
paleo;Paleo Chocolate Frosting;american;1419;8518;15026;16/10/2022;17:20:23
paleo;Paleo Crepes recipes;french;2738;957;6187;16/10/2022;17:20:29
paleo;Paleo Peach Crisp;french;3958;12688;9783;16/10/2022;17:20:29
paleo;Paleo Pumpkin Bars;american;3627;18251;1051;16/10/2022;17:20:29
paleo;Paleo Honey Cake;american;8732;25825;25924;16/10/2022;17:20:29
paleo;Paleo Carrot Soup;american;2717;11673;12514;16/10/2022;17:20:29
paleo;Paleo Fruitcake recipes;american;8597;27168;20757;16/10/2022;17:20:29
paleo;Best Paleo Chili;american;19311;8393;22724;16/10/2022;17:20:36
paleo;Perfect Paleo Pizza;italian;12347;7565;23587;16/10/2022;17:20:36
paleo;Grain-Free Cauliflower Fried Rice recipes;chinese;3754;5692;5388;16/10/2022;17:20:36
paleo;Paleo Chocolate Frosting recipes;american;727;11219;26991;16/10/2022;17:20:36
paleo;Paleo Eggplant Lasagna;italian;17217;18626;46717;16/10/2022;17:20:36
paleo;Paleo Pecan Tart Crust;american;2015;2496;11199;16/10/2022;17:20:36
paleo;Paleo Shepherd’s Pie;american;18935;14325;30066;16/10/2022;17:20:36
paleo;Paleo Pie Crust recipes;american;5639;4301;14387;16/10/2022;17:20:36
paleo;Paleo Mug Cake recipes;british;1048;1956;125;16/10/2022;17:20:36
paleo;Paleo Flourless Chocolate Cake;american;8382;38427;32434;16/10/2022;17:20:36
paleo;Mini Paleo Egg Bites;american;11836;654;6157;16/10/2022;17:20:36
paleo;Egg-Free Paleo Macaroons;french;991;9909;11051;16/10/2022;17:20:36
paleo;Paleo Raw Chocolate Bites;american;4607;2616;1475;16/10/2022;17:20:36
paleo;Paleo Mushroom Soup recipes;french;6019;11258;5261;16/10/2022;17:20:43
paleo;Paleo Birthday Cake recipes;american;6821;19996;16113;16/10/2022;17:20:43
paleo;Paleo Avocado Tuna Salad;mexican;3245;2427;3105;16/10/2022;17:20:43
paleo;Paleo Honey Cake recipes;eastern europe;9083;25846;26191;16/10/2022;17:20:43
paleo;Paleo Pumpkin Bars recipes;american;490;41209;11603;16/10/2022;17:20:43
paleo;Perfect Paleo Baked Salmon;nordic;16195;117;16083;16/10/2022;17:20:43
paleo;Chocolate Mousse (Paleo! Keto!);french;2023;12601;15336;16/10/2022;17:20:43
paleo;Crab + Avocado Temaki recipes;caribbean;8879;3266;5558;16/10/2022;17:20:50
paleo;Red Cabbage Slaw with Tangy Carrot Ginger Dressing recipes;american;965;4263;8392;16/10/2022;17:20:50
paleo;Paleo Prosciutto Egg Cups;italian;8095;634;11398;16/10/2022;17:20:50
paleo;Paleo Chicken Adobo recipes;mediterranean;12317;6152;1077;16/10/2022;17:20:50
paleo;Cranberry Apple Stuffing;american;4789;28593;9375;16/10/2022;17:20:50
paleo;Paleo Dirty Rice recipes;caribbean;2668;8075;3537;16/10/2022;17:20:50
paleo;Slow-Cooker Paleo Meatballs;eastern europe;1456;10225;14433;16/10/2022;17:20:50
paleo;Delicata Squash Stuffed with Spiced Meat and Tomatoes (serves 2) and a side of Sauteed Chard recipes;italian;10074;9207;36057;16/10/2022;17:20:50
paleo;Paleo Pork Chili Verde;american;1077;6802;2869;16/10/2022;17:20:50
paleo;Paleo Steak and Egg Salad;american;6519;1709;6997;16/10/2022;17:20:50
paleo;Easy Paleo Beef with Broccoli;mediterranean;1025;3841;9885;16/10/2022;17:20:50
paleo;Paleo Party Pork Carnitas;mexican;26892;12888;33428;16/10/2022;17:20:50
paleo;Paleo Pecan Tart Crust recipes;american;2103;2501;11266;16/10/2022;17:20:50
paleo;Paleo Shepherd's Pie recipes;american;18935;14325;30066;16/10/2022;17:20:50
paleo;Paleo Vanilla Birthday Cake recipes;french;7111;15931;14725;16/10/2022;17:20:56
paleo;Egg-Free Paleo Macaroons recipes;french;1016;1057;11051;16/10/2022;17:20:56
paleo;Paleo Raw Chocolate Bites recipes;american;4607;2616;1475;16/10/2022;17:20:56
paleo;Perfect Paleo Pie Crust recipes;american;4397;10437;16083;16/10/2022;17:20:56
paleo;Practical Paleo: Mint Chip Truffles;american;376;2394;8065;16/10/2022;17:20:56
paleo;Cindy's Paleo Harvest Chili;american;21045;13956;27252;16/10/2022;17:20:56
paleo;Instant Pot Paleo Pork Tenderloin;french;36276;1683;6404;16/10/2022;17:20:56
paleo;Paleo Pecan-Crusted Chicken | everydaypaleo.com;american;25866;5559;10391;16/10/2022;17:20:56
paleo;Entertain Meatloaf Style;american;19794;701;11007;16/10/2022;17:20:56
paleo;Semi-Homemade Paleo Spaghetti And Meatballs;italian;12854;36681;16672;16/10/2022;17:20:56
paleo;Easy Paleo Herb Gravy recipes;french;2356;3905;4225;16/10/2022;17:21:04
paleo;Homemade Mayo (Paleo and Whole30 Friendly!);italian;281;111;11261;16/10/2022;17:21:04
paleo;Paleo and Vegan Pesto stuffed mushrooms;american;1073;155;4929;16/10/2022;17:21:04
paleo;Paleo Un-Stuffed Cabbage Soup;italian;14127;5582;19873;16/10/2022;17:21:04
paleo;Sweet Potato Chili (Paleo-Friendly!);american;9856;1913;17693;16/10/2022;17:21:04
paleo;Paleo Dirty Cauliflower ‘Rice’ Recipe;mediterranean;2668;8075;3537;16/10/2022;17:21:04
paleo;Spicy Paleo Pumpkin Muffins recipes;british;12184;41393;31739;16/10/2022;17:21:04
paleo;Paleo Cauliflower Bacon Fried Rice Recipe;chinese;2876;5001;4809;16/10/2022;17:21:04
paleo;Paleo Beef and Sweet Potato Stew;american;20082;15382;10262;16/10/2022;17:21:04
paleo;Paleo Comfort Foods’ Poached Pears recipes;french;982;21427;304;16/10/2022;17:21:04
paleo;Madras Chicken Salad recipes;mediterranean;15018;4136;12375;16/10/2022;17:21:04
paleo;Slow Cooker Cheater Pork Stew recipes;french;24429;6944;2499;16/10/2022;17:21:04
paleo;Strawberry Rhubarb Crisp - and it's paleo. recipes;american;3224;25087;13925;16/10/2022;17:21:04
paleo;Paleo Pasta Salad with Avocado Oil Vinaigrette;french;3123;7497;11667;16/10/2022;17:21:04
paleo;The Paleo Diet’s Salmon Caesar Salad Recipe;nordic;15595;4931;15025;16/10/2022;17:21:04
paleo;"Eggplant ""Ricotta"" Stacks From 'Nom Nom Paleo'";italian;3232;15739;19411;16/10/2022;17:21:11
paleo;Southwest Cowboy Chili From 'Nom Nom Paleo';american;4302;13837;17817;16/10/2022;17:21:11
paleo;Swiss Paleo’s Homemade Italian & Chorizo Sausage;italian;127361;8334;160854;16/10/2022;17:21:11
paleo;Paleo Doritos Toast Will Scratch Your Snack Itch;american;3275;2267;245;16/10/2022;17:21:11
paleo;Paleo Pumpkin, Coconut, & Maple Custard Cups recipes;american;360;14279;10774;16/10/2022;17:21:11
paleo;Paleo Spaghetti Squash and Amped Up Meatballs;italian;12833;15422;12577;16/10/2022;17:21:11
paleo;Swiss Paleo’s Bugs Bunny Hasenpfeffer Stew recipes;nordic;6578;9623;13086;16/10/2022;17:21:11
paleo;The Paleo Kitchen’s Honey Mustard Chicken Thighs recipes;french;15256;5359;20536;16/10/2022;17:21:11
paleo;Stupid Easy Paleo’s Kickin’ BBQ Shredded Chicken recipes;american;2837;7855;2521;16/10/2022;17:21:11
paleo;Paleo-Friendly Roasted Butternut Squash with Crispy Sage Leaves;nordic;645;668;4258;16/10/2022;17:21:11
paleo;Orange Sriracha Chicken recipes;south east asian;10417;8297;6482;16/10/2022;17:21:11
paleo;Overnight Cherry Chia Seed Pudding – Paleo/Gluten Free/Vegan;american;1277;11292;5684;16/10/2022;17:21:11
paleo;Paleo Pumpkin Gingerbread Cake with Maple-Vanilla Frosting recipes;american;7383;18559;30746;16/10/2022;17:21:11
paleo;Sweet Potato & Pork Thanksgiving Stuffing (Paleo, Gluten-Free) recipes;american;19791;31215;3715;16/10/2022;17:21:11
paleo;Paleo Comfort Food? Here’s A Creamy Shrimp Fra Diavolo recipes;italian;10247;5164;5482;16/10/2022;17:21:11
paleo;Instant Pot Buffalo Sweet Potato Soup {Vegan, Whole30, Paleo, Gluten-Free};american;1426;7907;10953;16/10/2022;17:21:11
paleo;Dill Butternut Squash Fries;american;768;892;1438;16/10/2022;17:21:11
paleo;Crispy Sweet Potato Fries;south american;44;5619;2884;16/10/2022;17:21:18
paleo;Rosemary and Garlic Parsnip Mash;american;334;4853;136;16/10/2022;17:21:18
paleo;Four Layer Beef and Bacon Casserole;american;21363;14966;29856;16/10/2022;17:21:18
paleo;Boston Baked Beef;american;13599;19385;23295;16/10/2022;17:21:18
paleo;Nutella Brownie Truffles;french;1221;15195;9875;16/10/2022;17:21:18
paleo;Best Ever Bars;american;6276;1949;26667;16/10/2022;17:21:18
paleo;Salmon Cakes;nordic;8631;1117;6645;16/10/2022;17:21:18
paleo;Crockpot Italian Chicken and Peppers;italian;8607;8494;4304;16/10/2022;17:21:18
paleo;Herbed Rack of Lamb;middle eastern;3536;676;13382;16/10/2022;17:21:18
paleo;Moroccan Braised Chicken and Kale;middle eastern;28365;8999;30629;16/10/2022;17:21:18
paleo;Roasted Tomato Soup;italian;3932;887;5097;16/10/2022;17:21:18
paleo;Sweet Plantain Guacamole;south american;1918;1340;13871;16/10/2022;17:21:18
paleo;Turkey Spaghetti Zoodles;american;12269;9681;5115;16/10/2022;17:21:18
paleo;Celery Leaf & Fennel Poached Salmon;nordic;3241;1725;2449;16/10/2022;17:21:18
paleo;Turkey Veggie Meatballs With Spaghetti Squash;american;12278;14794;5184;16/10/2022;17:21:24
paleo;Asian Sesame Chicken & Broccoli;chinese;10767;3195;7025;16/10/2022;17:21:24
paleo;Cauliflower Fried Rice;chinese;4662;8276;5347;16/10/2022;17:21:24
paleo;Khoresht Lubia Sabz (Persian Green Bean Stew);american;12129;6951;4955;16/10/2022;17:21:24
paleo;Cinnamon Chocolate Swirl Banana Bread;american;6873;26684;18304;16/10/2022;17:21:24
paleo;Easy Pan Gravy;british;32;654;1165;16/10/2022;17:21:24
paleo;Salsa Fresca estilo Siete;mexican;494;3355;111;16/10/2022;17:21:24
paleo;Ginger Snap Pumpkin Butter Cookie Sandwiches;american;9778;23978;35665;16/10/2022;17:21:24
paleo;Cauliflower Soup Drizzled with White Truffle Oil;french;419;6407;3795;16/10/2022;17:21:24
paleo;Apple Pumpkin Soup;american;995;6453;1956;16/10/2022;17:21:24
paleo;Easy Vegan Pad Thai Supreme;american;9794;21778;16832;16/10/2022;17:21:24
paleo;Beef Chorizo con Huevo estilo Siete;mediterranean;13392;1288;9288;16/10/2022;17:21:24
paleo;Angel Food Cake;american;5509;28394;502;16/10/2022;17:21:24
paleo;Asian Chicken Salad;asian;6961;4466;12844;16/10/2022;17:21:24
paleo;Roasted Beef Tenderloin;american;34989;1057;13034;16/10/2022;17:21:24
paleo;Kale, Artichoke and Pecorino Salad;mediterranean;3698;4042;5868;16/10/2022;17:21:24
paleo;Spicy Thai Peanut Kelp Noodle Pad Thai;south east asian;9267;35752;6886;16/10/2022;17:21:24
paleo;Almond Meal Encrusted Chicken Nuggets - REAL FOOD Healing Recipe from Mee Tracy McCormick;american;19106;2506;13785;16/10/2022;17:21:24
paleo;Artichoke Francaise;mediterranean;3581;12703;6287;16/10/2022;17:21:31
paleo;Braised Short Rib Bolognese;italian;24269;5962;60718;16/10/2022;17:21:31
paleo;Maialino's Olive Oil Cake (Adapted by Becca Fox);american;7245;47949;4683;16/10/2022;17:21:31
paleo;Homemade Ravioli with Ricotta Cheese and Spinach Filling;italian;11865;3000;10745;16/10/2022;17:21:31
paleo;Boneless Short Ribs on the BGE;french;39264;1251;47292;16/10/2022;17:21:31
paleo;Ribollita;italian;6667;18022;11167;16/10/2022;17:21:31
paleo;Pear and Apple Coffeecake with Walnut Topping;british;6886;30913;38474;16/10/2022;17:21:31
paleo;Artichoke and Perfect Asparagus Salad with Lemony Herbed Vinaigrette;mediterranean;2261;686;10389;16/10/2022;17:21:31
paleo;Indian Spiced Broccoli and Potato Hash;nordic;939;4736;1047;16/10/2022;17:21:31
paleo;Vegan Dark Chocolate Coconut Tart;american;3224;2211;10354;16/10/2022;17:21:31
paleo;Pork and Charred Brussels Sprouts with Chile Lime Sauce;south american;14556;24017;8914;16/10/2022;17:21:31
paleo;Apple Fennel Casserole with a Coconut-Turmeric Twist;italian;56;465;1834;16/10/2022;17:21:31
paleo;Slow-Cooker 'Osso Buco' Stew;italian;21111;9479;6146;16/10/2022;17:21:31
paleo;Vegan Coconut Cream Tart with White Peaches and Blueberries;american;3945;28588;10949;16/10/2022;17:21:31
paleo;Spiced Harvest Cake;british;6592;45558;15829;16/10/2022;17:21:31
paleo;Paleo MeeNut™ Butter Sandwich on Paleo Bread™;american;93;308;2431;16/10/2022;17:21:38
paleo;Low Carb Paleo Egg Wrap Recipe;american;1671;285;1585;16/10/2022;17:21:38
paleo;Paleo Nutella Banana Ice Cream;american;786;18618;301;16/10/2022;17:21:38
paleo;Paleo Whole30 Pesto Chicken Salad;american;17697;107;20648;16/10/2022;17:21:38
paleo;The Elvis Paleo Sandwich Recipe;american;1872;6814;5408;16/10/2022;17:21:38
paleo;Simple Paleo Reese’s Cups;american;6956;15794;25736;16/10/2022;17:21:38
paleo;Paleo Meatloaf recipes;american;21695;20373;17818;16/10/2022;17:21:38
paleo;Paleo Nacho Casserole;mexican;15683;8803;1676;16/10/2022;17:21:38
paleo;Simple Paleo Coleslaw Dressing;mediterranean;676;1701;8982;16/10/2022;17:21:38
paleo;Paleo Bread Stuffing recipes;american;5496;20813;492;16/10/2022;17:21:44
paleo;Paleo deviled egg recipe;french;3274;308;6922;16/10/2022;17:21:44
paleo;Paleo Peppermint Bark;american;3023;19135;23563;16/10/2022;17:21:44
paleo;Paleo Chipotle Dipping Sauce;mexican;214;1579;11627;16/10/2022;17:21:44
paleo;Paleo Wrap Carne Asada Recipe;mexican;15924;7582;6253;16/10/2022;17:21:44
paleo;Homemade Paleo Protein Bars;american;36804;50049;21084;16/10/2022;17:21:44
paleo;Paleo Tzatziki;mediterranean;282;1707;1393;16/10/2022;17:21:44
paleo;Paleo Pecan Pie Bars recipes;american;10525;59423;70042;16/10/2022;17:21:44
paleo;Loaded Paleo Cauliflower Nachos recipes;mexican;5293;757;1317;16/10/2022;17:21:44
paleo;Gluten-Free Paleo Meatloaf recipes;eastern europe;17021;13635;19693;16/10/2022;17:21:44
paleo;Paleo Broccoli Salad recipes;american;2275;12499;14691;16/10/2022;17:21:44
paleo;Healthy Paleo Marble Cake recipes;american;4218;24532;9032;16/10/2022;17:21:44
paleo;Paleo Deviled Eggs recipes;french;8775;1006;16303;16/10/2022;17:21:51
paleo;Paleo Meatball Sub;american;5704;6266;7765;16/10/2022;17:21:51
paleo;Paleo Egg Salad recipes;american;3577;3022;8857;16/10/2022;17:21:51
paleo;Caramel Caffe Latte (paleo, GF, dairy-free) recipes;american;328;327;1537;16/10/2022;17:21:51
paleo;Smoky Paleo Deviled Eggs recipes;french;341;847;6953;16/10/2022;17:21:51
paleo;Paleo Barbecue Beef and Bacon recipes;american;11404;14884;12875;16/10/2022;17:21:51
paleo;Paleo Pad Thai with Zucchini Noodles;south east asian;35;4081;36;16/10/2022;17:21:51
paleo;Paleo Sunbutter Cups recipes;french;1;3229;2763;16/10/2022;17:21:51
paleo;Paleo Quiche Cups;french;5938;4371;8241;16/10/2022;17:21:51
paleo;Paleo Pecan Pie;american;4128;49712;28589;16/10/2022;17:21:51
paleo;Paleo Smoked Tuna Salad recipes;american;2483;1977;9032;16/10/2022;17:21:51
paleo;Paleo Lemon Mousse;french;1782;7784;8412;16/10/2022;17:21:58
paleo;Paleo Aioli Salad Dressing;mediterranean;53;232;4457;16/10/2022;17:21:58
paleo;Paleo Flourless Chocolate Cake recipes;american;8048;40446;41021;16/10/2022;17:21:58
paleo;Paleo Flourless Chocolate Cake;american;5516;12366;24431;16/10/2022;17:21:58
paleo;Paleo Chicken Salad with Dates & Walnuts {Whole30} recipes;mediterranean;9763;8859;980;16/10/2022;17:21:58
paleo;Paleo Blackberry Muffins recipes;american;4348;8137;8844;16/10/2022;17:21:58
paleo;Paleo Crockpot Cashew Chicken recipes;italian;16531;7863;22089;16/10/2022;17:21:58
paleo;Paleo Blackberry Instant Pot Cobbler;french;3301;28756;11466;16/10/2022;17:21:58
paleo;Paleo Banana Bread French Toast;french;2123;20311;4255;16/10/2022;17:21:58
paleo;Three-Ingredient Paleo Chocolate Truffles;french;2343;18378;20078;16/10/2022;17:21:58
paleo;Toasted Egg Fiesta Paleo Wrap (Ketogenic);american;1392;3274;2653;16/10/2022;17:21:58
paleo;Paleo Beef Stroganoff;eastern europe;21513;3663;6805;16/10/2022;17:21:58
paleo;Paleo Whole30 Classic Egg Salad recipes;american;615;858;18492;16/10/2022;17:21:58
paleo;Easy Paleo Meatloaf with Bacon;american;20361;2357;16641;16/10/2022;17:21:58
paleo;Gluten Free Beef and Tomato {Chinese Style, Paleo Option} recipes;chinese;10783;5613;8139;16/10/2022;17:21:58
paleo;Buffalo Ranch Chicken Salad Recipe {Paleo, Whole30 Compliant} recipes;american;14557;2722;15288;16/10/2022;17:22:05
paleo;Paleo Crock Pot Pulled Pork recipes;american;25511;9929;17032;16/10/2022;17:22:05
paleo;Papaya Chicken Paleo Wrap;british;4075;3363;3528;16/10/2022;17:22:05
paleo;Paleo Vegan Enchilada Casserole;american;9662;33156;2146;16/10/2022;17:22:05
paleo;Blueberry Almond Mug Cake (Paleo, Gluten Free);american;1422;3355;3447;16/10/2022;17:22:05
paleo;Paleo Bang Bang Shrimp recipes;japanese;9188;334;16316;16/10/2022;17:22:05
paleo;Creamy Roasted Sesame Dressing (Paleo, Whole30, Keto);mediterranean;33;1324;5769;16/10/2022;17:22:05
paleo;Paleo Ranch Dressing and Dip recipes;american;177;58;1901;16/10/2022;17:22:05
paleo;Smoked Salmon Paleo Wrap Bites;nordic;3401;8225;2763;16/10/2022;17:22:05
paleo;Paleo Meatloaf;american;28304;8583;10896;16/10/2022;17:22:05
paleo;Dairy-free Paleo Ranch Dressing;american;563;1085;22621;16/10/2022;17:22:05
paleo;Paleo Banana Chip Muffins recipes;american;9583;13993;18895;16/10/2022;17:22:05
paleo;Creamy (yet Paleo) Cucumber Salad recipes;american;323;1766;4505;16/10/2022;17:22:12
paleo;Bunless Paleo Chicken BLTs recipes;american;9748;193;11943;16/10/2022;17:22:12
paleo;Frittata with Sweet Potato, Sausage and Caramelized Onions (Paleo, Grain-Free) recipes;italian;12661;10921;1881;16/10/2022;17:22:12
paleo;Paleo Tangy BBQ Pulled Pork;american;24491;26345;6197;16/10/2022;17:22:12
paleo;Paleo Crab Cakes recipes;french;9765;191;7638;16/10/2022;17:22:12
paleo;Simple Paleo Coleslaw recipes;mediterranean;1452;8091;9039;16/10/2022;17:22:12
paleo;3 Ingredient Chocolate Walnut Fudge (Paleo, Vegan, Gluten Free, Dairy-Free);american;488;12611;16021;16/10/2022;17:22:12
paleo;Paleo Whole30 Chicken Salad recipes;american;17135;5447;28553;16/10/2022;17:22:12
paleo;Flourless Chocolate Peppermint Cake (Paleo and Low Carb) recipes;american;4519;25514;11431;16/10/2022;17:22:12
paleo;Easy Paleo Fried Fish Sticks;french;10613;4327;21462;16/10/2022;17:22:12
paleo;Paleo Cheese-Stuffed Meatballs;american;10397;8266;13102;16/10/2022;17:22:12
paleo;Paleo Shrimp, Bacon and Tomato Pasta Recip;italian;7233;4897;7465;16/10/2022;17:22:12
paleo;Primal Organic Chicken Recipe In A Paleo Wrap;american;3707;5005;352;16/10/2022;17:22:12
paleo;Paleo Vegan Cherry Garcia Ice Cream;american;1651;25772;5279;16/10/2022;17:22:12
paleo;Paleo Peach-Blueberry Cobbler recipes;american;4238;24547;16124;16/10/2022;17:22:12
paleo;Paleo Sweet Potato Casserole;italian;3803;106156;19918;16/10/2022;17:22:18
paleo;Paleo Crab Cakes;american;323;1414;10685;16/10/2022;17:22:18
paleo;Cinnamon Raisin Paleo Bread Pudding recipes;british;742;33636;13983;16/10/2022;17:22:18
paleo;Paleo Chicken Piccata;french;3849;11157;12766;16/10/2022;17:22:18
paleo;Paleo Barbecue Chicken Casserole recipes;italian;27164;25895;2824;16/10/2022;17:22:18
paleo;Baked Ranch Chicken Tenders (Paleo + Whole30);american;10557;12965;14659;16/10/2022;17:22:18
paleo;Chocolate Almond Buttercream Cups | PALEO;american;2772;28099;1385;16/10/2022;17:22:18
paleo;Paleo Broccoli Salad;american;331;5946;12668;16/10/2022;17:22:18
paleo;Paleo Whole 30 Berry Chicken Salad;american;22865;2501;23862;16/10/2022;17:22:18
paleo;"Cauliflower Fried ""Rice"" (Paleo)";chinese;2648;4485;1665;16/10/2022;17:22:18
paleo;Paleo Pumpkin Bolognese;italian;837;4166;9689;16/10/2022;17:22:18
paleo;Paleo Egg Nog Cake recipes;british;6283;15942;6635;16/10/2022;17:22:18
paleo;Easy Paleo Reese's™ Cups;french;6173;25906;22492;16/10/2022;17:22:25
paleo;Paleo Cornbread Stuffing recipes;american;12928;69344;24317;16/10/2022;17:22:25
paleo;Sloppy Joe's - Paleo & Whole30 recipes;french;9468;9081;858;16/10/2022;17:22:25
paleo;No-Bake Paleo Chocolate Chip Coconut Bars;american;7481;27262;51878;16/10/2022;17:22:25
paleo;Portobello Mushroom Paleo Taco;italian;8107;4684;11472;16/10/2022;17:22:25
paleo;Paleo BBQ Ranch Meatloaf;american;17386;7971;13088;16/10/2022;17:22:25
paleo;Keto Paleo Tuna Taquitos Recipe;mexican;4645;7945;751;16/10/2022;17:22:25
paleo;Paleo Chocolate Coconut Milk Panna Cotta;italian;2339;10195;14765;16/10/2022;17:22:25
paleo;Slow Cooker Honey Peach Chipotle Meatballs (Gluten Free, Paleo) recipes;eastern europe;2344;25629;2575;16/10/2022;17:22:25
paleo;Paleo Roasted Cabbage with Mustard Seed Dressing recipes;mediterranean;418;1445;5079;16/10/2022;17:22:25
paleo;Paleo Tuna Spinach Casserole recipes;italian;8476;5054;9211;16/10/2022;17:22:25
paleo;Paleo Beef Stroganoff;eastern europe;13093;7055;20375;16/10/2022;17:22:25
paleo;Slammin Wild Salmon Paleo Wrap Tumeric;nordic;9518;4551;5522;16/10/2022;17:22:25
paleo;Vietnamese Spring Rolls (Paleo) recipes;south east asian;387;12293;7113;16/10/2022;17:22:25
paleo;Paleo Banana Muffins recipes;american;5277;9946;15099;16/10/2022;17:22:25
paleo;Paleo Chicken Shawarma recipes;middle eastern;11446;5287;9238;16/10/2022;17:22:25
paleo;Paleo Spinach Donuts recipes;american;4322;24739;12445;16/10/2022;17:22:25
paleo;Paleo Strawberry Pie recipes;american;6038;22326;16019;16/10/2022;17:22:32
paleo;Quick and Easy Paleo Salads;french;4468;2895;7311;16/10/2022;17:22:32
paleo;Chocolate Custard (Paleo or Low Carb) recipes;french;3684;12643;15907;16/10/2022;17:22:32
paleo;Pumpkin Milkshake (Dairy-free, Paleo, AIP) recipes;american;2177;8819;16804;16/10/2022;17:22:32
paleo;Pistachio Crumbed Mushrooms (Paleo, Low Carb) recipes;british;4775;5933;15769;16/10/2022;17:22:32
paleo;Paleo Chocolate Mousse Cake (dairy Free, Raw Dessert, Keto, Paleo, Gluten Free) recipes;american;4881;27815;26465;16/10/2022;17:22:32
paleo;Paleo Ground Beef Spaghetti Squash Skillet;italian;9621;12843;11548;16/10/2022;17:22:32
paleo;Paleo Fried Green Tomatoes recipes;french;4916;5939;18249;16/10/2022;17:22:32
paleo;Dulce de Leche Ice Cream (Paleo) recipes;italian;1438;17786;1411;16/10/2022;17:22:32
paleo;Easy BBQ Jackfruit Saute Recipe [Paleo, Vegan];american;202;1084;1476;16/10/2022;17:22:32
paleo;Easy 10 Minute Asian Zucchini Noodles (low-carb, Paleo) recipes;asian;1386;3792;702;16/10/2022;17:22:32
paleo;Paleo Maple Pecan Latte Mug Cake;american;125;3644;3219;16/10/2022;17:22:32
paleo;Paleo Beef Stew;american;20863;13791;5439;16/10/2022;17:22:32
paleo;A No Bake Paleo Chocolate Cashew Coconut Dessert That’s Healthy;american;2793;8743;75119;16/10/2022;17:22:32
paleo;Easy Chicken Herb Salad (Paleo, Low Carb) recipes;american;8102;913;10901;16/10/2022;17:22:32
paleo;Frozen Chocolate Custard (Low Carb and Paleo Friendly);american;4047;5632;18495;16/10/2022;17:22:38
